,source_id,clean_tmass_psc_xsc_oid,Unnamed: 0,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
19052011+0848571,4307534649490853632,319854323,80,0.026457,80,81,,19 05 20.11,+08 48 57.14,7.9,2.7,45.9,0.4,M0,M7,Simbad,286.3337916666666,8.815872222222223,286.333799,8.815871,0.06,0.06,0,7.18,5.444,4.638,0.023,0.033,0.026,AAA,111,0,2451393.6798
19060720+0723545,4306776570584841856,315624991,81,0.014943,81,82,,19 06 07.20,+07 23 54.59,10.1,1.7,40.9,1.4,K4.5,M6,Simbad,286.53,7.398497222222223,286.530004,7.398496,0.06,0.06,90,6.722,5.258,4.591,0.021,0.021,0.034,AAA,111,0,2451394.5603
19060934+0558443,4305772540364756736,311359062,82,0.054971,82,83,,19 06 09.34,+05 58 44.39,1.4,1.6,45.2,1.4,K5.5,M7,Simbad,286.53891666666664,5.978997222222223,286.538932,5.978998,0.08,0.06,90,7.03,5.423,4.673,0.021,0.021,0.017,AAA,111,0,2451401.5633
19102566+0818523,4307304679757255424,318357193,83,0.018998,83,84,,19 10 25.67,+08 18 52.38,3.8,2.9,50.4,0.6,M1,---,Simbad,287.6069583333333,8.31455,287.606953,8.31455,0.06,0.06,90,7.64,5.795,4.888,0.023,0.036,0.016,AAA,111,0,2451394.6088
19125995+0948015,4309248891198245632,322781511,84,0.050924,84,85,,19 12 59.96,+09 48 01.52,5.1,1.6,77.3,1.5,M7,---,Simbad,288.2498333333333,9.800422222222222,288.249819,9.800423,0.06,0.06,90,7.103,5.361,4.529,0.027,0.051,0.018,AAA,111,0,2451394.633
19130113+1001597,4309272530698468224,323472068,85,0.021805,85,86,,19 13 01.14,+10 01 59.73,-0.9,2.0,49.9,0.3,M1,M7,Simbad,288.25474999999994,10.033258333333334,288.254744,10.033257,0.1,0.08,0,7.359,5.595,4.748,0.027,0.017,0.02,AAA,111,0,2451394.6329
19141414+1028025,4309357914649847680,324756261,86,0.026209,86,87,,19 14 14.14,+10 28 02.55,4.6,1.0,55.8,0.6,M2.5,---,Simbad,288.5589166666667,10.467375,288.558924,10.467374,0.06,0.06,90,7.972,5.892,4.891,0.02,0.031,0.017,AAA,111,0,2451394.6493
19143238+0916599,4308889277873400320,321236907,87,0.072281,87,88,,19 14 32.39,+09 16 59.91,9.7,2.6,45.1,0.7,K5.5,M7,Simbad,288.6349583333333,9.283308333333334,288.634938,9.283309,0.06,0.06,90,7.058,5.435,4.694,0.018,0.023,0.02,AAA,111,0,2451394.6553
19162104+0939043,4309018955832528768,322338589,88,0.05798,88,89,,19 16 21.04,+09 39 04.38,2.9,1.0,48.4,0.7,M0.5,M7,Simbad,289.0876666666666,9.651216666666668,289.087683,9.651217,0.06,0.06,90,6.902,5.228,4.433,0.018,0.023,0.017,AAA,111,0,2451394.675
19185685+1411081,4319494552879576704,335776678,89,0.026806,89,90,,19 18 56.86,+14 11 08.14,-1.0,1.3,46.2,0.3,M0,M7,Simbad,289.7369166666667,14.185594444444444,289.736909,14.185594,0.06,0.06,90,6.25,4.928,4.397,0.019,0.018,0.049,AAA,111,0,2451472.6026
